Node_id,DEG,DC,BC,CC,EC,CEN,ECC,RAD,Target_group_score_normalized,Conectivity_score_topo
CAMTA1,Down,0.019644527595884,3.58057302068e-05,0.6371761854264505,0.0511246552543073,0.8807491702228545,0.6000000000000001,0.7732114956678188,0.1,0.762825917200297
CDC14A,Up,0.0533208606173994,0.0342786401897766,0.6893951811178496,0.0391335914108925,0.768610715979137,0.6000000000000001,0.8205577387434307,0.1,0.869086578238355
ELP1,Up,0.0860617399438727,0.0119434187757481,0.6958391926544792,0.1909232504962545,0.7641062114746325,0.6000000000000001,0.8259078642109748,0.1,0.676413355317254
DENND1B,Down,0.0121608980355472,0.0126885385223528,0.6353474320241692,0.0032707654075323,0.9582740635372214,0.6000000000000001,0.7714123384309456,0.1,0.680922232623046
ZIC2,Up,0.0308699719363891,0.0072170801175993,0.6921178212934014,0.0441237726814968,0.7524893314366998,0.6000000000000001,0.82283035841106,0.1,0.697077899906386
CPX-6199,Down,0.0327408793264733,0.0222118638076422,0.6933728981206726,0.0201495847946149,0.716927453769559,0.6000000000000001,0.8238719757587235,0.1,0.559033644910465
RORB,Down,0.0243217960710944,0.0032357949125244,0.637852593266606,0.0215120952739201,0.9601706970128022,0.6000000000000001,0.7738743430708774,0.1,0.763042276834343
LGR4,Up,0.0028063610851262,3.295117885e-07,0.6469276320849034,0.0076976732949837,0.8940256045519204,0.6000000000000001,0.7826333980398655,0.1,0.395446121033465
GJB6,Up,0.0318054256314312,0.053550189121068,0.6577527562749238,0.0121354061029379,0.8591749644381224,0.6000000000000001,0.7927654940580465,0.1,0.514178807043511
SLC25A20,Up,0.0383536014967259,0.0058600752690328,0.6662970297029703,0.0147606435487847,0.7913703176861071,0.6000000000000001,0.8005302779224469,0.1,0.759369370400627
SLC2A10,Up,0.0486435921421889,0.0206365257513884,0.6789894261038019,0.0431160739353652,0.8172119487908962,0.6000000000000001,0.8117039912882913,0.1,0.727504750625296
MTM1,Up,0.049579045837231,0.0104118309606632,0.6554464703132306,0.0519696164405879,0.829302987197724,0.6000000000000001,0.790634913119644,0.1,0.652174870329342
LRRC8A,Up,0.0140318054256314,0.0093481177639285,0.6177118519606405,0.0041135037979935,0.9592223802750118,0.6000000000000001,0.7535154585483642,0.1,0.521893111436825
MSI2,Up,0.0542563143124415,0.0006321674332413,0.7018773466833543,0.1173463372930398,0.7226173541963016,0.6000000000000001,0.8308318734908385,0.1,0.894492166215117
TPP1,Up,0.1889616463985032,0.0465078845701396,0.7021702838063439,0.2785354240158262,0.698909435751541,0.6000000000000001,0.8310686047062166,0.1,1.14906132574315
CPX-6212,Down,0.019644527595884,0.0050401683947236,0.6188024128291894,0.0037159081540265,0.9566145092460882,0.6000000000000001,0.7546517683821788,0.1,0.538242320118212
CPX-6213,Down,0.019644527595884,0.0050401683947236,0.6188024128291894,0.0037159081540265,0.9566145092460882,0.6000000000000001,0.7546517683821788,0.1,0.538242320118212
CPX-4749,Down,0.0271281571562207,0.0079879929324564,0.6833468724614135,0.0131573302565018,0.738027501185396,0.6000000000000001,0.8154443444912647,0.1,0.641756960839727
CPX-4750,Down,0.019644527595884,0.0057635574708583,0.677731227844022,0.0119915302236687,0.7498814604077761,0.6000000000000001,0.8106150276975521,0.1,0.600655929945617
CPX-6902,Down,0.0224508886810102,0.0050981023112554,0.6772401577972789,0.0125704911082531,0.7496443812233285,0.6000000000000001,0.8101889115098717,0.1,0.609959639333479
CPX-6903,Down,0.0121608980355472,0.0014065081470087,0.6661914944167261,0.0113920089332028,0.7873399715504978,0.6000000000000001,0.8004355854362958,0.1,0.557405159425099
CPX-8163,Down,0.0318054256314312,0.0124842051127089,0.6482237805347925,0.0118753715819898,0.9215267899478424,0.6000000000000001,0.7838644003598314,0.1,0.643400605334098
TNPO2,Down,0.0140318054256314,0.0039085378246378,0.5985058697972252,0.0069820176534771,0.9625414888572784,0.6000000000000001,0.7328251503243218,0.1,0.65142059238125
CPX-8164,Down,0.0280636108512628,0.0099200006516026,0.6418924074780618,0.0101217883047689,0.9407302038880986,0.6000000000000001,0.7778040812461532,0.1,0.623198707655048
SELENBP1,Up,0.0168381665107577,0.0067785616703232,0.652093023255814,0.0140119526392924,0.9433380749170224,0.6000000000000001,0.7875100610766537,0.1,0.69143676394237
LIAS,Down,0.0168381665107577,0.0002309509164568,0.6256600966902194,0.0038099866055591,0.9293504030346136,0.6000000000000001,0.7617063586004451,0.1,0.447583562228676
CLEC16A,Down,0.0159027128157156,0.0003973546569326,0.5978678038379531,0.0040872593827674,0.9554291133238502,0.6000000000000001,0.7321149566781876,0.1,0.514076236773633
SLC25A38,Down,0.0168381665107577,0.0065125006096213,0.5889106692803138,0.0018836669321061,0.9767662399241348,0.6000000000000001,0.7219828606600067,0.1,0.492800964479838
APCDD1,Up,0.000935453695042,0.0,0.5016399308247362,0.0001629837429389,1.0,0.5,0.6043274466171109,0.1,0.445034358710821
RDH11,Down,0.019644527595884,0.0184397158507982,0.6206285967242142,0.0029295252587788,0.9677572309151256,0.6000000000000001,0.7565456181052034,0.1,0.723186933952618
SIAE,Down,0.0018709073900841,5.287615252e-07,0.592352651221745,0.0012767782910666,0.9940730203888098,0.6000000000000001,0.7259125988352825,0.1,0.557803780498888
SPEF2,Down,0.0084190832553788,0.0011205055561124,0.5773507206588882,0.0021282505829234,0.9253200568990044,0.6000000000000001,0.7084418351403816,0.1,0.484539959128751
CEP19,Down,0.0074836295603367,0.0001677143025191,0.5517512790240063,0.0005192534331124,0.985538169748696,0.6000000000000001,0.6764357748212679,0.1,0.499031275503202
